flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_terminal,dep_status,dep_weather_min,dep_weather_max,dep_weather_desc,dep_counter,dep_door,arr_date,arr_time,arr_airport_name,arr_airport_code,arr_terminal,arr_status,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,timestamp,dep_date_time,arr_date_time,duracion_vuelo
AEA9435, ATR-72,2018-04-13,17:20,GRAN CANARIA,LPA,-,Salida prevista a las 17:22,16,21,Nubosidad variable,,,2018-04-13,18:00,FUERTEVENTURA,FUE,1,Llegada prevista a las 18:00,16,22,Nubosidad variable,A,13,2018-04-13 17:26:30,2018-04-13 17:20:00,2018-04-13 18:00:00,40.0
IBB160, BOMBARDIER CRJ-1000,2018-04-13,15:00,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 15:03,17,22,Nubosidad variable,,,2018-04-13,15:30,GRAN CANARIA,LPA,-,El vuelo ha aterrizado a las 15:46,16,21,Nubosidad variable,01,12,2018-04-13 17:26:30,2018-04-13 15:00:00,2018-04-13 15:30:00,30.0
IBB633, ATR-42/72,2018-04-13,16:00,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 16:07,17,22,Nubosidad variable,,,2018-04-13,16:30,LA PALMA,SPC,N,Llegada prevista a las 16:39,16,21,Nubosidad variable,LLNT,4,2018-04-13 17:26:30,2018-04-13 16:00:00,2018-04-13 16:30:00,30.0
IBB623, ATR-42/72,2018-04-13,17:00,TENERIFE NORTE,TFN,1,Salida prevista a las 16:55,17,22,Nubosidad variable,,3,2018-04-13,17:30,LA PALMA,SPC,N,Llegada prevista a las 17:30,16,21,Nubosidad variable,LLNT,4,2018-04-13 17:26:30,2018-04-13 17:00:00,2018-04-13 17:30:00,30.0
IBB632, ATR-42/72,2018-04-13,16:00,LA PALMA,SPC,N,El vuelo ha despegado a las 16:06,16,21,Nubosidad variable,,6,2018-04-13,16:30,TENERIFE NORTE,TFN,1,Llegada prevista a las 16:45,17,22,Nubosidad variable,1,1,2018-04-13 17:26:29,2018-04-13 16:00:00,2018-04-13 16:30:00,30.0
AEA6027, BOEING 737-800 WINGLETS,2018-04-13,19:45,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,2,Salida prevista a las 19:37,6,14,Chubascos dispersos,,,2018-04-13,20:55,IBIZA,IBZ,1,Llegada prevista a las 20:55,13,17,Nuboso a muy nuboso,02,3,2018-04-13 17:26:29,2018-04-13 19:45:00,2018-04-13 20:55:00,70.0
IBB213, ATR-42/72,2018-04-13,14:50,FUERTEVENTURA,FUE,1,El vuelo ha despegado a las 14:54,16,22,Nubosidad variable,,12,2018-04-13,15:30,GRAN CANARIA,LPA,-,El vuelo ha aterrizado a las 15:29,16,21,Nubosidad variable,01,11,2018-04-13 17:26:29,2018-04-13 14:50:00,2018-04-13 15:30:00,40.0
AEA9465, ATR-72,2018-04-13,15:10,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 15:10,17,22,Nubosidad variable,,3,2018-04-13,15:45,LA PALMA,SPC,N,El vuelo ha aterrizado a las 15:49,16,21,Nubosidad variable,LLNT,2,2018-04-13 17:26:29,2018-04-13 15:10:00,2018-04-13 15:45:00,35.0
IBB220, ATR-72,2018-04-13,16:55,GRAN CANARIA,LPA,-,Salida prevista a las 16:55,16,21,Nubosidad variable,,,2018-04-13,17:40,FUERTEVENTURA,FUE,1,Llegada prevista a las 17:40,16,22,Nubosidad variable,A,14,2018-04-13 17:26:29,2018-04-13 16:55:00,2018-04-13 17:40:00,45.0
IBB522, ATR-72,2018-04-13,15:45,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 15:52,16,21,Nubosidad variable,,,2018-04-13,16:30,LANZAROTE,ACE,4,Llegada prevista a las 16:35,17,22,Nubosidad variable,4,,2018-04-13 17:26:28,2018-04-13 15:45:00,2018-04-13 16:30:00,45.0
IBB167, BOMBARDIER CRJ-1000,2018-04-13,16:00,GRAN CANARIA,LPA,-,Salida prevista a las 16:15,16,21,Nubosidad variable,,,2018-04-13,16:30,TENERIFE NORTE,TFN,1,Llegada prevista a las 16:30,17,22,Nubosidad variable,1,2,2018-04-13 17:26:28,2018-04-13 16:00:00,2018-04-13 16:30:00,30.0
CNF849, ATR-72,2018-04-13,16:15,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 16:10,16,21,Nubosidad variable,,,2018-04-13,16:55,FUERTEVENTURA,FUE,1,Llegada prevista a las 16:40,16,22,Nubosidad variable,A,14,2018-04-13 17:26:28,2018-04-13 16:15:00,2018-04-13 16:55:00,40.0
VLG3974, 32A,2018-04-13,19:25,BILBAO,BIO,O,Salida prevista a las 19:25,7,17,Lluvia moderada,,1,2018-04-13,20:55,IBIZA,IBZ,1,Llegada prevista a las 20:55,13,17,Nuboso a muy nuboso,02,2,2018-04-13 17:26:28,2018-04-13 19:25:00,2018-04-13 20:55:00,90.0
IBB631, ATR-42/72,2018-04-13,15:00,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 15:10,17,22,Nubosidad variable,,2,2018-04-13,15:30,LA PALMA,SPC,N,El vuelo ha aterrizado a las 15:39,16,21,Nubosidad variable,LLNT,4,2018-04-13 17:26:28,2018-04-13 15:00:00,2018-04-13 15:30:00,30.0
IBB511, ATR-42/72,2018-04-13,14:30,LANZAROTE,ACE,2,El vuelo ha despegado a las 14:36,17,22,Nubosidad variable,,,2018-04-13,15:15,GRAN CANARIA,LPA,-,El vuelo ha aterrizado a las 15:19,16,21,Nubosidad variable,01,13,2018-04-13 17:26:28,2018-04-13 14:30:00,2018-04-13 15:15:00,45.0
VLG3714, AIRBUS A320,2018-04-14,09:40,BARCELONA-EL PRAT,BCN,T1,Salida prevista a las 09:40,12,17,Lluvia,,,2018-04-14,10:35,MENORCA,MAH,1,Llegada prevista a las 10:35,12,17,Lluvia débil,1,5,2018-04-13 17:26:28,2018-04-14 09:40:00,2018-04-14 10:35:00,55.0
LAV5214, BOEING 737-400,2018-04-13,14:10,SANTIAGO,SCQ,T,El vuelo ha despegado a las 14:00,10,15,Chubascos dispersos,,15,2018-04-13,16:10,TENERIFE NORTE,TFN,1,El vuelo ha aterrizado a las 15:31,17,22,Nubosidad variable,1,4,2018-04-13 17:26:27,2018-04-13 14:10:00,2018-04-13 16:10:00,120.0
VLG2268, AIRBUS A320,2018-04-13,18:00,BARCELONA-EL PRAT,BCN,T1,Salida prevista a las 18:00,12,17,Lluvia,,,2018-04-13,19:40,SEVILLA,SVQ,1,Llegada prevista a las 19:40,8,17,Chubascos dispersos,B,3,2018-04-13 17:26:27,2018-04-13 18:00:00,2018-04-13 19:40:00,100.0
AEA9418, ATR-72,2018-04-13,14:30,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 15:05,17,22,Nubosidad variable,,1,2018-04-13,15:00,GRAN CANARIA,LPA,-,El vuelo ha aterrizado a las 15:40,16,21,Nubosidad variable,01,12,2018-04-13 17:26:27,2018-04-13 14:30:00,2018-04-13 15:00:00,30.0
CNF452, ATR-72,2018-04-13,14:20,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 14:19,17,22,Nubosidad variable,,,2018-04-13,14:50,LA PALMA,SPC,N,El vuelo ha aterrizado a las 14:53,16,21,Nubosidad variable,LLNT,2,2018-04-13 17:26:27,2018-04-13 14:20:00,2018-04-13 14:50:00,30.0
