flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_terminal,dep_status,dep_weather_min,dep_weather_max,dep_weather_desc,dep_counter,dep_door,arr_date,arr_time,arr_airport_name,arr_airport_code,arr_terminal,arr_status,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,timestamp,dep_date_time,arr_date_time,duracion_vuelo
UAE0188, AIRBUS A380-800,2018-04-13,22:40,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 23:40,13,17,Abertura de claros,,,,-,DUBAI,DXB,-,-,,,-,-,,2018-04-14 01:19:40,2018-04-13 22:40:00,,
IBE6833, AIRBUS A340-600,2018-04-14,00:10,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 00:07,5,17,Nubes altas,,,,-,SANTIAGO DE CHILE,SCL,-,-,,,-,-,,2018-04-14 01:19:38,2018-04-14 00:10:00,,
IBE6843, AIRBUS A340-600,2018-04-14,00:10,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 00:07,5,17,Nubes altas,,,,-,BUENOS AIRES/MINISTRO PISTARINI,EZE,-,-,,,-,-,,2018-04-14 01:19:37,2018-04-14 00:10:00,,
QTR142, BOEING 787-8,2018-04-13,22:30,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 00:08,13,17,Abertura de claros,,,,-,HAMAD INTERNATIONAL,DOH,-,-,,,-,-,,2018-04-14 01:19:34,2018-04-13 22:30:00,,
AEA045, AIRBUS A330-200,2018-04-13,23:55,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,1,El vuelo ha despegado a las 23:57,5,17,Nubes altas,,,,-,MONTEVIDEO,MVD,-,-,,,-,-,,2018-04-14 01:19:34,2018-04-13 23:55:00,,
AEA041, BOEING 787-9,2018-04-13,23:55,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,1,El vuelo ha despegado a las 00:09,5,17,Nubes altas,,,,-,BUENOS AIRES/MINISTRO PISTARINI,EZE,-,-,,,-,-,,2018-04-14 01:19:32,2018-04-13 23:55:00,,
RYR4587, BOEING 737-800 WINGLETS,2018-04-13,22:25,BARCELONA-EL PRAT,BCN,T2 B,El vuelo ha despegado a las 00:13,13,17,Abertura de claros,,,,-,OPORTO,OPO,-,-,,,-,-,,2018-04-14 01:19:32,2018-04-13 22:25:00,,
AEA057, BOEING 787-8,2018-04-13,23:50,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,1,El vuelo ha despegado a las 23:48,5,17,Nubes altas,,,,-,SAO PAULO /GUARULHOS,GRU,-,-,,,-,-,,2018-04-14 01:19:31,2018-04-13 23:50:00,,
VLG6102, AIRBUS A320,2018-04-13,22:20,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 00:03,13,17,Abertura de claros,,,,-,ROMA /FIUMICINO,FCO,-,-,,,-,-,,2018-04-14 01:19:31,2018-04-13 22:20:00,,
IBE6827, AIRBUS A330-300,2018-04-13,23:45,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 23:49,5,17,Nubes altas,,,,-,SAO PAULO /GUARULHOS,GRU,-,-,,,-,-,,2018-04-14 01:19:30,2018-04-13 23:45:00,,
MAC374, AIRBUS A320,2018-04-13,22:15,BARCELONA-EL PRAT,BCN,T2 B,El vuelo ha despegado a las 23:41,13,17,Abertura de claros,,,,-,CASABLANCA /MOHAMED V,CMN,-,-,,,-,-,,2018-04-14 01:19:30,2018-04-13 22:15:00,,
IBE6409, AIRBUS A340-600,2018-04-13,23:45,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 23:49,5,17,Nubes altas,,,,-,MEXICO,MEX,-,-,,,-,-,,2018-04-14 01:19:29,2018-04-13 23:45:00,,
EZY6030, AIRBUS A319,2018-04-13,22:05,BARCELONA-EL PRAT,BCN,T2 C,El vuelo ha despegado a las 23:48,13,17,Abertura de claros,,,,-,BRISTOL,BRS,-,-,,,-,-,,2018-04-14 01:19:29,2018-04-13 22:05:00,,
